"PROVRES","SEXO","CAUSA","MAT","GRUPEDAD","CUENTA"
"02","1","N19","","13_60 a 64","1"
"02","1","N19","","16_75 a 79","5"
"02","1","N28","","08_35 a 39","1"
"02","1","N49","","17_80 y más","1"
"02","1","N50","","14_65 a 69","1"
"02","1","P21","","01_Menor de 1 año","3"
"02","1","P22","","01_Menor de 1 año","6"
"02","1","P27","","01_Menor de 1 año","2"
"02","1","Q04","","03_10 a 14","1"
"02","1","R00","","16_75 a 79","1"
"02","1","R04","","14_65 a 69","2"
"02","1","R31","","17_80 y más","1"
"02","1","R57","","10_45 a 49","1"
"02","1","R57","","16_75 a 79","16"
"02","1","R95","","01_Menor de 1 año","1"
"02","1","R99","","14_65 a 69","8"
"02","1","R99","","15_70 a 74","10"
"02","1","V49","","05_20 a 24","1"
"02","1","V49","","06_25 a 29","3"
"02","1","W19","","08_35 a 39","1"
"02","1","W87","","08_35 a 39","1"
"02","1","X59","","15_70 a 74","8"
"02","1","X70","","04_15 a 19","1"
"02","1","X74","","15_70 a 74","1"
"02","1","Y17","","05_20 a 24","1"
"02","1","Y17","","07_30 a 34","4"
"02","1","Y20","","10_45 a 49","5"
"02","1","Y20","","13_60 a 64","6"
"02","1","Y20","","16_75 a 79","3"
"02","1","Y21","","04_15 a 19","1"
"02","1","Y21","","17_80 y más","1"
"02","1","Y24","","09_40 a 44","10"
"02","1","Y26","","04_15 a 19","1"
"02","1","Y26","","12_55 a 59","1"
"02","1","Y26","","17_80 y más","3"
"02","1","Y28","","06_25 a 29","5"
"02","1","Y28","","08_35 a 39","3"
"02","1","Y28","","10_45 a 49","1"
"02","1","A16","","08_35 a 39","2"
"02","1","A16","","10_45 a 49","3"
"02","1","A40","","14_65 a 69","1"
"02","1","A41","","17_80 y más","245"
"02","1","A49","","06_25 a 29","1"
"02","1","A49","","17_80 y más","9"
"02","1","B17","","12_55 a 59","1"
"02","1","B24","","11_50 a 54","1"
"02","1","B24","","14_65 a 69","2"
"02","1","B49","","16_75 a 79","1"
"02","1","C01","","17_80 y más","1"
"02","1","C02","","09_40 a 44","1"
"02","1","C05","","14_65 a 69","1"
"02","1","C10","","11_50 a 54","1"
"02","1","C16","","11_50 a 54","3"
"02","1","C18","","07_30 a 34","1"
"02","1","C20","","07_30 a 34","1"
"02","1","C21","","12_55 a 59","1"
"02","1","C22","","12_55 a 59","4"
"02","1","C22","","17_80 y más","15"
"02","1","C23","","13_60 a 64","1"
"02","1","C23","","14_65 a 69","1"
"02","1","C23","","16_75 a 79","1"
"02","1","C25","","13_60 a 64","20"
"02","1","C25","","15_70 a 74","41"
"02","1","C34","","10_45 a 49","7"
"02","1","C37","","16_75 a 79","1"
"02","1","C39","","16_75 a 79","1"
"02","1","C41","","17_80 y más","2"
"02","1","C45","","16_75 a 79","2"
"02","1","C49","","15_70 a 74","4"
"02","1","C50","","17_80 y más","3"
"02","1","C61","","12_55 a 59","8"
"02","1","C61","","15_70 a 74","33"
"02","1","C61","","17_80 y más","155"
