PROVRES;SEXO;CAUSA;MAT;GRUPEDAD;CUENTA
74;1;K25;NULL;15_70 a 74;1
22;2;C67;NULL;17_80 y más;2
06;2;V89;NULL;02_1 a 9;4
06;2;C02;NULL;12_55 a 59;2
90;2;N18;NULL;17_80 y más;14
78;1;I21;NULL;09_40 a 44;1
42;1;C26;NULL;16_75 a 79;1
38;2;W13;NULL;10_45 a 49;1
66;2;E16;NULL;14_65 a 69;1
38;1;C25;NULL;17_80 y más;1
62;2;G30;NULL;15_70 a 74;4
90;1;C64;NULL;09_40 a 44;1
34;1;J18;NULL;08_35 a 39;3
30;1;R68;NULL;15_70 a 74;9
62;1;C02;NULL;15_70 a 74;1
06;1;Y31;NULL;07_30 a 34;3
26;1;C22;NULL;12_55 a 59;2
90;2;L93;NULL;08_35 a 39;1
58;1;C88;NULL;16_75 a 79;1
34;1;C32;NULL;17_80 y más;1
58;2;I70;NULL;17_80 y más;2
06;2;O88;M;07_30 a 34;1
58;1;Q01;NULL;01_Menor de 1 año;1
30;1;J85;NULL;13_60 a 64;1
58;1;C45;NULL;16_75 a 79;1
46;2;E05;NULL;11_50 a 54;1
82;2;C25;NULL;15_70 a 74;38
70;1;I61;NULL;17_80 y más;4
02;1;Y28;NULL;06_25 a 29;2
54;2;C56;NULL;13_60 a 64;6
38;1;I26;NULL;14_65 a 69;1
14;1;V27;NULL;04_15 a 19;3
18;2;K65;NULL;17_80 y más;1
26;1;X68;NULL;06_25 a 29;1
06;2;C73;NULL;17_80 y más;19
50;1;I61;NULL;16_75 a 79;16
62;2;C02;NULL;15_70 a 74;1
54;2;F32;NULL;16_75 a 79;1
82;1;D43;NULL;08_35 a 39;1
70;1;V21;NULL;07_30 a 34;1
06;1;C41;NULL;99_Sin especificar;2
90;2;C53;NULL;15_70 a 74;3
26;1;C25;NULL;11_50 a 54;2
18;1;I64;NULL;09_40 a 44;1
14;1;B46;NULL;15_70 a 74;1
66;2;L08;NULL;13_60 a 64;1
70;2;D38;NULL;17_80 y más;2
06;2;C15;NULL;15_70 a 74;27
82;1;C85;NULL;15_70 a 74;6
82;1;C41;NULL;11_50 a 54;1
66;2;C72;NULL;16_75 a 79;1
82;2;J81;NULL;14_65 a 69;8
90;1;C85;NULL;07_30 a 34;1
62;2;E14;NULL;13_60 a 64;4
82;1;C26;NULL;17_80 y más;1
66;2;J22;NULL;16_75 a 79;1
50;2;M86;NULL;12_55 a 59;1
82;2;A19;NULL;14_65 a 69;1
82;2;B24;NULL;12_55 a 59;2
54;2;C43;NULL;16_75 a 79;1
82;2;F99;NULL;14_65 a 69;3
70;1;I47;NULL;12_55 a 59;3
30;2;C64;NULL;12_55 a 59;2
46;1;I42;NULL;14_65 a 69;2
18;1;D41;NULL;15_70 a 74;1
50;2;G80;NULL;03_10 a 14;1
78;1;I49;NULL;13_60 a 64;3
90;1;Y83;NULL;15_70 a 74;1
50;2;X70;NULL;15_70 a 74;1
58;2;I77;NULL;15_70 a 74;1
86;2;B57;NULL;14_65 a 69;1
02;1;J96;NULL;12_55 a 59;5
34;1;W17;NULL;10_45 a 49;1
06;1;J15;NULL;17_80 y más;213
18;2;G61;NULL;14_65 a 69;1
30;1;C64;NULL;14_65 a 69;7
30;1;I49;NULL;17_80 y más;4
86;2;C48;NULL;17_80 y más;1
06;1;V89;NULL;02_1 a 9;6
54;2;J98;NULL;14_65 a 69;1
86;2;C54;NULL;13_60 a 64;1
62;1;K74;NULL;15_70 a 74;5
02;1;C80;NULL;02_1 a 9;1
70;1;R99;NULL;17_80 y más;39
86;1;I48;NULL;16_75 a 79;1
06;1;I31;NULL;17_80 y más;11
06;2;E87;NULL;12_55 a 59;5
06;1;M30;NULL;13_60 a 64;1
74;1;I67;NULL;11_50 a 54;4
82;1;W86;NULL;07_30 a 34;1
06;2;E83;NULL;13_60 a 64;1
90;1;N18;NULL;17_80 y más;11
06;2;J18;NULL;16_75 a 79;1017
70;2;C22;NULL;17_80 y más;3
66;1;V24;NULL;07_30 a 34;2
38;2;E11;NULL;17_80 y más;5
58;1;B24;NULL;17_80 y más;1
02;1;C61;NULL;16_75 a 79;44
06;2;F29;NULL;14_65 a 69;1
50;1;I12;NULL;16_75 a 79;3
18;1;I42;NULL;10_45 a 49;1
14;1;C84;NULL;14_65 a 69;1
22;1;J84;NULL;14_65 a 69;2
02;1;R58;NULL;17_80 y más;4
22;1;B45;NULL;11_50 a 54;1
90;2;C80;NULL;14_65 a 69;8
34;2;E14;NULL;13_60 a 64;4
38;2;I50;NULL;09_40 a 44;1
70;1;R57;NULL;15_70 a 74;3
14;1;W18;NULL;14_65 a 69;2
86;1;C16;NULL;16_75 a 79;3
46;1;W18;NULL;13_60 a 64;1
38;1;M47;NULL;13_60 a 64;1
74;1;C61;NULL;14_65 a 69;6
38;2;J96;NULL;11_50 a 54;3
30;1;Y26;NULL;12_55 a 59;2
14;2;J90;NULL;10_45 a 49;1
58;2;C18;NULL;10_45 a 49;2
22;1;I25;NULL;09_40 a 44;1
18;2;C24;NULL;16_75 a 79;1
50;1;Q21;NULL;05_20 a 24;1
46;2;I51;NULL;17_80 y más;1
54;2;C22;NULL;15_70 a 74;1
82;1;J15;NULL;09_40 a 44;1
26;1;N39;NULL;10_45 a 49;1
06;2;A18;NULL;11_50 a 54;1
78;1;C34;NULL;14_65 a 69;5
90;1;E14;NULL;17_80 y más;28
66;1;B20;NULL;09_40 a 44;2
46;1;N39;NULL;13_60 a 64;2
22;1;C25;NULL;11_50 a 54;2
06;2;C46;NULL;15_70 a 74;1
42;1;J44;NULL;12_55 a 59;1
02;2;C51;NULL;13_60 a 64;3
06;1;Y09;NULL;14_65 a 69;3
