PROVRES;SEXO;CAUSA;MAT;GRUPEDAD;CUENTA
14;1;I25;NULL;10_45 a 49;7
06;1;C22;NULL;04_15 a 19;1
18;2;C25;NULL;16_75 a 79;3
06;1;V48;NULL;03_10 a 14;2
26;1;N39;NULL;02_1 a 9;1
38;2;C25;NULL;15_70 a 74;4
50;1;I51;NULL;17_80 y más;9
50;2;C55;NULL;10_45 a 49;4
90;1;D64;NULL;14_65 a 69;2
02;1;I67;NULL;08_35 a 39;1
38;1;I50;NULL;09_40 a 44;3
82;1;L89;NULL;08_35 a 39;1
54;2;B20;NULL;11_50 a 54;1
62;2;D38;NULL;14_65 a 69;2
10;1;C92;NULL;14_65 a 69;1
10;1;I50;NULL;14_65 a 69;5
46;1;I15;NULL;14_65 a 69;1
02;2;I42;NULL;15_70 a 74;95
90;1;I60;NULL;14_65 a 69;1
06;1;B23;NULL;16_75 a 79;1
22;1;W70;NULL;04_15 a 19;1
78;2;N18;NULL;17_80 y más;1
86;2;B25;NULL;01_Menor de 1 año;1
14;2;I60;NULL;16_75 a 79;6
54;2;C16;NULL;13_60 a 64;2
86;1;I71;NULL;11_50 a 54;2
50;1;X00;NULL;05_20 a 24;1
14;2;I50;NULL;15_70 a 74;58
82;1;D37;NULL;14_65 a 69;3
30;2;I60;NULL;15_70 a 74;1
58;1;I71;NULL;17_80 y más;2
82;1;Y30;NULL;11_50 a 54;1
18;2;I10;NULL;13_60 a 64;3
62;1;I24;NULL;15_70 a 74;2
02;2;Y34;NULL;15_70 a 74;3
70;1;P22;NULL;01_Menor de 1 año;7
78;1;C15;NULL;11_50 a 54;2
50;1;K65;NULL;16_75 a 79;3
06;1;I61;NULL;11_50 a 54;65
58;2;C15;NULL;11_50 a 54;1
50;2;C53;NULL;11_50 a 54;4
62;2;K80;NULL;15_70 a 74;1
86;2;K63;NULL;09_40 a 44;1
66;1;J44;NULL;15_70 a 74;16
34;1;R99;NULL;14_65 a 69;10
42;1;C50;NULL;13_60 a 64;1
82;2;I49;NULL;11_50 a 54;2
82;2;D69;NULL;15_70 a 74;1
38;1;A04;NULL;13_60 a 64;2
50;2;I34;NULL;17_80 y más;2
02;1;I11;NULL;13_60 a 64;4
22;1;R99;NULL;01_Menor de 1 año;1
26;2;C19;NULL;13_60 a 64;1
70;1;N49;NULL;17_80 y más;1
70;1;J44;NULL;12_55 a 59;2
90;2;J98;NULL;17_80 y más;67
70;2;I47;NULL;12_55 a 59;1
06;2;E78;NULL;15_70 a 74;3
06;2;R99;NULL;11_50 a 54;36
06;1;D58;NULL;03_10 a 14;1
06;2;Y28;NULL;02_1 a 9;1
06;9;W17;NULL;06_25 a 29;1
99;1;I21;NULL;13_60 a 64;4
34;2;C56;NULL;14_65 a 69;2
30;1;J96;NULL;10_45 a 49;4
22;1;D37;NULL;15_70 a 74;2
62;1;E11;NULL;14_65 a 69;1
78;1;C34;NULL;10_45 a 49;2
66;2;J84;NULL;17_80 y más;13
66;1;V22;NULL;09_40 a 44;1
02;1;D75;NULL;16_75 a 79;1
02;2;C38;NULL;15_70 a 74;1
06;1;I11;NULL;17_80 y más;388
98;1;K92;NULL;06_25 a 29;1
50;2;J44;NULL;12_55 a 59;2
70;1;V43;NULL;15_70 a 74;1
06;2;C49;NULL;10_45 a 49;6
